X,Y,class
1.07,-0.45299999999999996,1.0
-0.688,-1.21,-1.0
-0.441,-0.28,-1.0
-0.365,0.157,1.0
0.579,0.35,-1.0
-0.764,-1.44,-1.0
1.36,-0.6890000000000001,1.0
-0.652,-0.521,-1.0
-1.84,-0.478,-1.0
-0.48,0.62,1.0
0.698,0.0037700000000000003,-1.0
0.932,0.34,-1.0
-0.0157,0.161,1.0
-0.191,-0.395,-1.0
-0.268,-1.13,-1.0
0.28,-0.993,1.0
0.8420000000000001,-0.249,1.0
0.0495,0.494,-1.0
0.643,-1.57,1.0
-0.207,0.88,1.0
-1.7,0.387,1.0
-2.26,-1.02,-1.0
0.0386,-1.66,1.0
-0.986,-1.47,-1.0
1.65,0.16399999999999998,-1.0
0.5670000000000001,-0.223,1.0
-0.353,-1.62,-1.0
-0.292,-0.7609999999999999,-1.0
0.858,1.14,-1.0
1.47,0.853,-1.0
-0.599,-1.12,-1.0
0.767,0.35600000000000004,-1.0
-1.77,0.355,1.0
0.815,0.0589,-1.0
-0.185,-0.8079999999999999,-1.0
-1.45,0.8,1.0
-0.309,-0.233,-1.0
1.73,0.685,-1.0
0.371,0.142,-1.0
1.52,1.72,-1.0
0.93,0.5820000000000001,-1.0
-2.09,0.124,1.0
-0.13,0.094,1.0
0.943,-2.74,1.0
-0.569,0.27,1.0
-0.467,-1.42,-1.0
0.8690000000000001,0.27699999999999997,-1.0
-0.971,0.315,1.0
0.8220000000000001,0.0052899999999999996,-1.0
0.8009999999999999,0.0783,-1.0
-0.395,-1.16,-1.0
-0.0859,0.19399999999999998,1.0
0.8759999999999999,-0.115,1.0
0.457,-0.965,1.0
-0.7829999999999999,-0.11,-1.0
-1.05,0.82,1.0
0.46299999999999997,0.27899999999999997,-1.0
0.33899999999999997,2.02,-1.0
-0.469,-2.2,-1.0
0.19899999999999998,-0.0506,1.0
-0.518,-0.9790000000000001,-1.0
-0.439,0.18100000000000002,1.0
-0.503,2.41,1.0
-0.961,-0.7929999999999999,-1.0
-2.29,0.251,1.0
-2.02,-0.539,-1.0
-0.276,-0.71,-1.0
1.74,0.9940000000000001,-1.0
1.32,-0.882,1.0
1.13,0.496,-1.0
0.7709999999999999,1.03,-1.0
-0.909,-0.424,-1.0
0.863,-2.66,1.0
1.51,0.5529999999999999,-1.0
-0.0457,0.221,1.0
-1.03,-0.35,-1.0
1.1,1.3,-1.0
2.7,-0.0739,1.0
-0.659,-0.514,-1.0
-1.02,-0.0779,-1.0
0.38299999999999995,-0.0342,1.0
1.1,-0.23399999999999999,1.0
-0.34700000000000003,-0.581,-1.0
-1.63,-1.57,-1.0
-1.18,1.3,1.0
0.895,1.37,-1.0
-1.33,-1.97,-1.0
-0.66,0.17600000000000002,1.0
0.499,1.05,-1.0
0.284,1.74,-1.0
-0.223,-0.9129999999999999,-1.0
-1.68,-0.889,-1.0
0.242,-0.889,1.0
0.937,1.41,-1.0
-2.37,0.8640000000000001,1.0
-2.24,0.401,1.0
1.22,0.0649,-1.0
-1.28,-0.585,-1.0
-0.262,-0.182,-1.0
-0.203,-0.11,-1.0
0.213,-1.21,1.0
-0.242,1.52,1.0
-0.385,-0.444,-1.0
1.08,-2.56,1.0
1.18,-0.632,1.0
0.16399999999999998,0.0963,-1.0
0.9420000000000001,-0.268,1.0
-0.6779999999999999,1.3,1.0
-2.36,0.0203,1.0
-1.35,-0.762,-1.0
2.01,-0.0446,1.0
0.195,-1.78,1.0
-0.7290000000000001,0.19699999999999998,1.0
0.355,0.617,-1.0
0.00863,0.527,-1.0
0.45399999999999996,-1.83,1.0
0.037,0.768,-1.0
0.59,-0.364,1.0
-0.8059999999999999,-1.12,-1.0
-0.131,1.13,1.0
-1.95,-0.66,-1.0
-1.14,0.785,1.0
-0.5539999999999999,-0.47100000000000003,-1.0
-0.217,0.445,1.0
-0.392,-3.05,-1.0
0.5429999999999999,0.439,-1.0
-0.22,-1.08,-1.0
0.35200000000000004,0.379,-1.0
-0.47,-0.217,-1.0
-0.93,-0.179,-1.0
-1.55,0.41700000000000004,1.0
-0.9440000000000001,0.23800000000000002,1.0
-1.41,-0.59,-1.0
-0.11,-1.66,-1.0
0.115,-0.379,1.0
-1.74,-1.3,-1.0
0.605,0.8959999999999999,-1.0
-0.132,0.405,1.0
0.22399999999999998,0.33,-1.0
1.29,-1.51,1.0
0.6759999999999999,-0.382,1.0
-0.22399999999999998,-0.302,-1.0
-0.375,-1.23,-1.0
0.183,1.67,-1.0
-0.0561,-0.00139,-1.0
-0.687,-0.11699999999999999,-1.0
0.466,-0.37,1.0
-0.45399999999999996,0.40299999999999997,1.0
-0.9179999999999999,0.252,1.0
0.82,1.36,-1.0
-0.0904,1.37,1.0
1.03,-0.996,1.0
-1.22,-0.305,-1.0
1.03,-0.0723,1.0
-0.601,1.55,1.0
0.287,-2.32,1.0
0.317,0.52,-1.0
0.226,0.45,-1.0
-0.0673,-1.32,-1.0
-0.371,-0.946,-1.0
-0.9329999999999999,-1.26,-1.0
0.452,0.0979,-1.0
-0.44799999999999995,-0.649,-1.0
-0.0234,1.08,1.0
-2.0,0.377,1.0
-0.546,-1.88,-1.0
-1.95,-0.9129999999999999,-1.0
0.22,0.39299999999999996,-1.0
-0.9390000000000001,1.02,1.0
1.42,0.396,-1.0
-0.591,1.12,1.0
0.755,0.867,-1.0
-0.6559999999999999,-2.83,-1.0
2.12,-1.61,1.0
-0.0358,2.38,1.0
0.331,0.9490000000000001,-1.0
-1.5,-1.78,-1.0
-0.5329999999999999,1.09,1.0
-0.34600000000000003,-0.795,-1.0
0.198,1.08,-1.0
-1.44,-1.21,-1.0
-0.789,1.09,1.0
0.235,2.13,-1.0
0.9359999999999999,-0.0351,1.0
1.27,0.21100000000000002,-1.0
-0.705,0.68,1.0
-0.696,-0.29,-1.0
1.33,-0.10099999999999999,1.0
-0.8029999999999999,-0.46399999999999997,-1.0
1.02,-0.5529999999999999,1.0
-0.387,-0.51,-1.0
0.184,-0.385,1.0
-1.6,-0.887,-1.0
-0.9329999999999999,1.24,1.0
0.813,0.5870000000000001,-1.0
-0.505,-0.816,-1.0
-0.508,-1.05,-1.0
2.5,-2.25,1.0
0.564,-1.28,1.0
-0.10400000000000001,-0.988,-1.0
-1.18,-1.14,-1.0
1.75,-0.133,1.0
-0.7659999999999999,0.556,1.0
0.0103,0.72,-1.0
-1.82,0.304,1.0
0.773,-1.66,1.0
0.44799999999999995,1.7,-1.0
-0.0149,0.821,1.0
0.6709999999999999,-0.708,1.0
0.0398,-1.57,1.0
-0.451,0.266,1.0
0.723,0.0246,-1.0
0.72,-1.1,1.0
-0.102,0.0193,1.0
1.85,-0.214,1.0
-0.499,0.0214,1.0
-0.919,0.193,1.0
-0.365,-1.79,-1.0
-0.0586,-0.318,-1.0
-1.63,-0.0671,-1.0
1.49,0.521,-1.0
0.612,-1.34,1.0
0.47700000000000004,0.14800000000000002,-1.0
0.529,0.423,-1.0
-1.36,-0.0414,-1.0
-0.758,-0.0501,-1.0
-0.897,1.31,1.0
-0.8590000000000001,-0.899,-1.0
0.0746,-1.08,1.0
-0.425,-0.83,-1.0
1.41,0.7859999999999999,-1.0
-0.0575,-0.391,-1.0
0.941,0.405,-1.0
0.498,-0.0262,1.0
-1.69,-0.11199999999999999,-1.0
-0.532,0.645,1.0
1.01,-0.6579999999999999,1.0
0.46799999999999997,1.74,-1.0
-0.6679999999999999,1.68,1.0
-0.853,0.023,1.0
-0.0111,0.0115,1.0
-0.838,-0.591,-1.0
-0.6679999999999999,0.327,1.0
0.33,2.23,-1.0
1.37,-0.51,1.0
0.325,0.997,-1.0
0.0306,-0.0696,1.0
0.0516,0.867,-1.0
-0.848,-0.326,-1.0
0.47,0.311,-1.0
0.24,-0.37,1.0
0.973,2.13,-1.0
0.406,-0.193,1.0
0.7559999999999999,-0.539,1.0
-0.75,0.0328,1.0
-2.58,-1.15,-1.0
-0.348,-1.35,-1.0
-1.03,-0.43700000000000006,-1.0
-1.64,-0.406,-1.0
-0.535,0.0254,1.0
1.15,0.17300000000000001,-1.0
0.0211,0.0995,-1.0
0.22699999999999998,-1.02,1.0
-0.115,0.309,1.0
-1.37,0.866,1.0
1.08,-0.631,1.0
-0.24100000000000002,-0.878,-1.0
0.6990000000000001,-1.06,1.0
-0.222,-0.8590000000000001,-1.0
0.051,-1.79,1.0
1.33,-0.965,1.0
0.0599,-0.213,1.0
-0.762,-0.888,-1.0
0.9359999999999999,-0.526,1.0
0.271,-0.8009999999999999,1.0
-0.647,0.47200000000000003,1.0
0.93,-0.175,1.0
-1.42,2.0,1.0
-0.857,-1.54,-1.0
2.59,-0.40399999999999997,1.0
-1.46,-0.6829999999999999,-1.0
0.368,0.19,-1.0
-0.852,1.82,1.0
-0.522,-1.18,-1.0
0.961,1.33,-1.0
-0.8170000000000001,-1.4,-1.0
1.03,-2.05,1.0
-1.23,0.9670000000000001,1.0
-0.0554,-0.264,-1.0
0.353,-0.153,1.0
-1.3,1.28,1.0
1.33,0.205,-1.0
0.0451,2.34,-1.0
-0.276,-0.26,-1.0
0.364,1.47,-1.0
1.59,-0.259,1.0
0.308,-1.38,1.0
-0.312,-0.84,-1.0
-1.01,1.68,1.0
-0.792,-0.532,-1.0
0.366,1.3,-1.0
0.48100000000000004,2.76,-1.0
-0.0747,0.259,1.0
0.276,1.44,-1.0
0.507,-0.11599999999999999,1.0
-0.9470000000000001,0.244,1.0
1.4,-0.41,1.0
0.529,0.24600000000000002,-1.0
0.8640000000000001,-0.805,1.0
2.35,-1.28,1.0
-0.366,0.938,1.0
0.297,0.83,-1.0
-0.496,-0.0748,-1.0
0.0122,1.57,-1.0
0.69,0.797,-1.0
-0.6579999999999999,0.9690000000000001,1.0
0.226,1.39,-1.0
2.01,-0.307,1.0
-0.406,-0.8640000000000001,-1.0
-0.14400000000000002,-0.382,-1.0
0.36,-0.145,1.0
-0.36200000000000004,1.06,1.0
-0.938,0.433,1.0
-0.406,0.7240000000000001,1.0
1.39,-0.303,1.0
0.441,0.179,-1.0
-0.799,0.24100000000000002,1.0
0.289,0.413,-1.0
-0.198,0.0942,1.0
-1.15,-0.358,-1.0
